iter	Passed	Remaining
0	8	8490
1	12	6347
2	16	5508
3	20	5059
4	22	4497
5	26	4326
6	30	4270
7	33	4212
8	37	4134
9	41	4142
10	45	4077
11	49	4043
12	52	4017
13	57	4014
14	60	3994
15	64	3985
16	68	3973
17	72	3959
18	76	3947
19	79	3918
20	83	3912
21	87	3903
22	91	3881
23	94	3858
24	98	3854
25	102	3841
26	106	3833
27	109	3816
28	114	3819
29	117	3808
30	121	3801
31	123	3744
32	127	3731
33	131	3730
34	135	3729
35	138	3715
36	142	3710
37	146	3702
38	149	3693
39	153	3683
40	157	3676
41	160	3670
42	164	3657
43	168	3651
44	171	3644
45	175	3638
46	179	3631
47	182	3625
48	186	3618
49	190	3611
50	193	3607
51	197	3601
52	201	3593
53	204	3584
54	208	3580
55	211	3570
56	215	3563
57	219	3557
58	223	3556
59	226	3546
60	230	3540
61	234	3540
62	237	3534
63	241	3531
64	245	3530
65	249	3525
66	252	3515
67	256	3513
68	259	3507
69	263	3506
70	267	3498
71	271	3494
72	275	3493
73	278	3487
74	282	3478
75	285	3476
76	289	3468
77	292	3461
78	296	3455
79	300	3452
80	303	3446
81	307	3444
82	311	3443
83	315	3437
84	319	3437
85	322	3431
86	326	3428
87	330	3428
88	334	3425
89	338	3418
90	341	3413
91	345	3409
92	349	3405
93	352	3400
94	356	3393
95	360	3390
96	363	3387
97	367	3382
98	370	3374
99	374	3371
100	378	3369
101	382	3365
102	386	3365
103	389	3359
104	393	3353
105	397	3348
106	400	3344
107	404	3342
108	408	3336
109	411	3332
110	415	3327
111	419	3323
112	423	3322
113	426	3318
114	430	3313
115	434	3309
116	437	3302
117	441	3297
118	444	3290
119	447	3285
120	451	3279
121	455	3274
122	458	3269
123	462	3265
124	465	3259
125	469	3256
126	473	3254
127	477	3251
128	480	3245
129	484	3240
130	487	3235
131	491	3232
132	495	3229
133	499	3225
134	503	3223
135	506	3218
136	510	3217
137	514	3213
138	517	3207
139	521	3204
140	525	3200
141	529	3199
142	533	3194
143	536	3189
144	540	3185
145	544	3182
146	547	3177
147	550	3171
148	554	3169
149	558	3164
150	562	3161
151	565	3156
152	569	3152
153	573	3150
154	576	3145
155	580	3142
156	584	3136
157	587	3132
158	591	3126
159	594	3121
160	598	3117
161	602	3115
162	605	3111
163	609	3108
164	613	3106
165	617	3103
166	621	3100
167	625	3096
168	629	3093
169	632	3088
170	636	3083
171	639	3079
172	643	3074
173	647	3071
174	651	3069
175	654	3065
176	658	3061
177	661	3056
178	665	3051
179	669	3048
180	673	3045
181	676	3042
182	680	3039
183	684	3035
184	688	3031
185	692	3029
186	695	3024
187	699	3020
188	703	3017
189	706	3013
190	710	3011
191	715	3010
192	719	3007
193	722	3002
194	726	2998
195	729	2993
196	733	2990
197	737	2987
198	740	2981
199	744	2979
200	748	2976
201	752	2972
202	756	2969
203	759	2964
204	763	2961
205	767	2959
206	771	2955
207	775	2953
208	779	2948
209	782	2944
210	786	2940
211	790	2936
212	793	2932
213	797	2927
214	800	2924
215	804	2919
216	807	2914
217	811	2910
218	815	2906
219	818	2903
220	822	2899
221	826	2895
222	830	2892
223	833	2888
224	837	2884
225	840	2880
226	844	2877
227	848	2873
228	852	2868
229	855	2864
230	859	2861
231	863	2859
232	867	2857
233	871	2853
234	875	2850
235	879	2847
236	883	2844
237	887	2841
238	891	2838
239	895	2835
240	899	2831
241	902	2827
242	906	2823
243	909	2818
244	913	2816
245	917	2811
246	921	2808
247	924	2804
248	928	2800
249	932	2796
250	935	2792
251	938	2786
252	942	2783
253	946	2778
254	949	2774
255	953	2770
256	956	2766
257	960	2762
258	963	2757
259	967	2753
260	970	2749
261	974	2744
262	978	2741
263	981	2737
264	985	2733
265	988	2728
266	992	2725
267	995	2720
268	999	2715
269	1002	2710
270	1006	2706
271	1009	2701
272	1013	2697
273	1016	2693
274	1019	2689
275	1023	2684
276	1026	2680
277	1030	2676
278	1033	2671
279	1037	2668
280	1041	2664
281	1045	2661
282	1048	2657
283	1052	2652
284	1055	2647
285	1058	2643
286	1061	2638
287	1065	2633
288	1068	2629
289	1072	2625
290	1075	2620
291	1079	2617
292	1083	2613
293	1086	2609
294	1090	2605
295	1093	2601
296	1097	2597
297	1101	2593
298	1105	2590
299	1108	2587
300	1112	2584
301	1116	2580
302	1120	2577
303	1123	2573
304	1127	2568
305	1130	2564
306	1134	2561
307	1138	2557
308	1141	2553
309	1145	2550
310	1149	2546
311	1153	2543
312	1157	2539
313	1160	2536
314	1164	2532
315	1167	2527
316	1171	2524
317	1175	2520
318	1178	2516
319	1182	2511
320	1185	2507
321	1189	2504
322	1193	2501
323	1197	2497
324	1200	2494
325	1204	2490
326	1208	2486
327	1212	2483
328	1215	2479
329	1219	2475
330	1222	2471
331	1226	2467
332	1230	2464
333	1234	2460
334	1237	2456
335	1241	2453
336	1245	2450
337	1249	2447
338	1253	2443
